model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Transformer,5,96,96,0.03799670189619064,0.13472747802734375,0.1949274241924286,1.4139364957809448,4604.01220703125
Informer,5,96,96,0.04304802045226097,0.15127664804458618,0.20748016238212585,1.5881845951080322,5757.12939453125
iTransformer,5,96,96,0.056411921977996826,0.16575969755649567,0.23751194775104523,1.8205333948135376,8673.9130859375
TimeMixer,5,96,96,0.056499313563108444,0.17085090279579163,0.2376958429813385,1.79926598072052,5708.30419921875
TSMixer,5,96,96,0.09699172526597977,0.2213810831308365,0.31143495440483093,2.352137565612793,9380.9892578125
SegRNN,5,96,96,0.09755387157201767,0.2077733427286148,0.31233614683151245,2.231576442718506,9454.8916015625
PatchTST,5,96,96,0.11497087776660919,0.23160791397094727,0.3390735685825348,2.5308806896209717,12615.2958984375
DLinear,5,96,96,0.2825751006603241,0.36464449763298035,0.5315779447555542,3.1601674556732178,16454.44921875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,5,96,192,0.06132146343588829,0.17892712354660034,0.2476317137479782,1.919959545135498,6806.0859375
Transformer,5,96,192,0.06606172770261765,0.19676660001277924,0.25702476501464844,2.2330312728881836,12167.873046875
iTransformer,5,96,192,0.08044427633285522,0.20191282033920288,0.2836270034313202,2.198951482772827,8905.859375
Informer,5,96,192,0.08736252039670944,0.22111859917640686,0.295571506023407,2.5032196044921875,12028.55078125
TSMixer,5,96,192,0.1356702595949173,0.26494625210762024,0.36833444237709045,2.6193175315856934,8960.1259765625
SegRNN,5,96,192,0.13803493976593018,0.25343549251556396,0.37153053283691406,2.6819353103637695,13180.556640625
PatchTST,5,96,192,0.1685778945684433,0.27580276131629944,0.41058239340782166,2.7658615112304688,10227.35546875
DLinear,5,96,192,0.31094926595687866,0.40157943964004517,0.5576282739639282,3.455141544342041,15636.9345703125
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,5,96,336,0.06867610663175583,0.18678605556488037,0.2620612680912018,2.026632785797119,7217.828125
Transformer,5,96,336,0.07360649853944778,0.19590923190116882,0.2713051736354828,2.2462689876556396,11741.896484375
iTransformer,5,96,336,0.08352921158075333,0.2052111178636551,0.28901422023773193,2.2623908519744873,9118.1298828125
Informer,5,96,336,0.08439701795578003,0.20665620267391205,0.2905116379261017,2.264878511428833,10333.34765625
TSMixer,5,96,336,0.124850794672966,0.2511307895183563,0.35334232449531555,2.5527729988098145,8573.060546875
SegRNN,5,96,336,0.13043145835399628,0.25185346603393555,0.3611529469490051,2.6987459659576416,12486.84765625
PatchTST,5,96,336,0.14648394286632538,0.26450100541114807,0.38273221254348755,2.7165422439575195,9916.044921875
DLinear,5,96,336,0.23385433852672577,0.3360764682292938,0.4835848808288574,2.998739719390869,12525.1982421875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,5,96,720,0.11837079375982285,0.24276335537433624,0.3440505564212799,2.371368885040283,9492.87890625
Informer,5,96,720,0.13790585100650787,0.2696537971496582,0.3713567852973938,2.849703073501587,12186.9189453125
Transformer,5,96,720,0.14025717973709106,0.27058151364326477,0.3745092451572418,2.6534202098846436,11475.4853515625
iTransformer,5,96,720,0.14592814445495605,0.2707293927669525,0.3820054233074188,2.8030107021331787,9885.1669921875
TSMixer,5,96,720,0.19660647213459015,0.31780874729156494,0.4434032738208771,3.15459942817688,12023.2666015625
SegRNN,5,96,720,0.20293055474758148,0.3190056085586548,0.45047813653945923,3.389185667037964,16439.958984375
PatchTST,5,96,720,0.22327901422977448,0.3320317268371582,0.47252407670021057,3.377788782119751,12705.453125
DLinear,5,96,720,0.3293522000312805,0.4148577153682709,0.5738921761512756,3.423281669616699,12797.0078125
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,5,mean,mean,0.07621691934764385,0.19483185932040215,0.2728598453104496,2.029306799173355,7306.2742919921875
Transformer,5,mean,mean,0.07948052696883678,0.19949620589613914,0.2744416519999504,2.136664241552353,9997.316772460938
Informer,5,mean,mean,0.08817835245281458,0.21217631176114082,0.2912300229072571,2.30149644613266,10076.486694335938
iTransformer,5,mean,mean,0.09157838858664036,0.21090325713157654,0.29803964868187904,2.2712216079235077,9145.767333984375
TSMixer,5,mean,mean,0.1385298129171133,0.2638167180120945,0.3691287487745285,2.669706881046295,9734.360595703125
SegRNN,5,mean,mean,0.1422377061098814,0.2580169774591923,0.3738744407892227,2.75036084651947,12890.563720703125
PatchTST,5,mean,mean,0.16332793235778809,0.27598585188388824,0.40122806280851364,2.8477683067321777,11366.037353515625
DLinear,5,mean,mean,0.28918272629380226,0.37928953021764755,0.5366708189249039,3.259332597255707,14353.3974609375
